iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
0,idID,True,0.20468432950671706,0.004441204771817462,10,"[0.06335047 0.03157966 0.08475977 0.0213764  0.06123052 0.01285507
 0.09251756 0.03085019 0.52220159 0.07927878]",[ 0  5  6  7 19 22 23 27 28 29],100,29,0.051133,1000,100,0.03,0.003,1,10,10,best,6,best
1,idID,True,0.17915548237006382,0.004505462038489068,10,"[0.06904815 0.0344199  0.09238299 0.02329898 0.06673754 0.01401124
 0.01089939 0.03362483 0.56916794 0.08640905]",[ 0  5  6  7 19 22 25 27 28 29],100,33,0.049701,1000,100,0.03,0.003,1,10,10,best,6,best
2,idID,True,0.15504709396429486,0.0047263406266819874,10,"[0.07524724 0.0375101  0.02539074 0.01089779 0.07272918 0.01526916
 0.01187793 0.03664364 0.62026742 0.09416679]",[ 0  5  7  8 19 22 25 27 28 29],100,33,0.049915,1000,100,0.03,0.003,1,10,10,best,6,best
3,idID,True,0.1378312610985677,0.0047111120275461545,10,"[0.08028335 0.04002055 0.02709008 0.01162715 0.01629108 0.01066927
 0.01267289 0.03909611 0.66178036 0.10046914]",[ 0  5  7  8 22 23 25 27 28 29],100,28,0.049359,1000,100,0.03,0.003,1,10,10,best,6,best
4,idID,True,0.11671252177816036,0.0050710838983625125,10,"[0.01075597 0.04304597 0.02913799 0.01250613 0.01752263 0.01147584
 0.01363092 0.04205164 0.71180866 0.10806425]",[ 4  5  7  8 22 23 25 27 28 29],100,37,0.050451,1000,100,0.03,0.003,1,10,10,best,6,best
5,idID,True,0.090479258390485,0.005385219359392391,10,"[0.01192542 0.0477262  0.03230606 0.01386587 0.01108726 0.01942781
 0.01272356 0.01511296 0.04662377 0.78920108]",[ 4  5  7  8 15 22 23 25 27 28],100,35,0.05035,1000,100,0.03,0.003,1,10,10,best,6,best
6,idID,True,0.07647300264925463,0.005542215728918344,10,"[0.01239296 0.03357263 0.01440949 0.01039205 0.01152194 0.02018948
 0.01322239 0.01570547 0.04845166 0.82014192]",[ 4  7  8  9 15 22 23 25 27 28],100,27,0.049755,1000,100,0.03,0.003,1,10,10,best,6,best
7,idID,True,0.0641574244549664,0.005560035880623488,10,"[0.01269215 0.01475736 0.01064293 0.0118001  0.01024142 0.02067689
 0.0135416  0.01608462 0.04962137 0.83994155]",[ 4  8  9 15 18 22 23 25 27 28],100,23,0.04948,1000,100,0.03,0.003,1,10,10,best,6,best
8,idID,True,0.056950979104257636,0.005682249634970619,10,"[0.01041256 0.01321578 0.01536619 0.01108202 0.01228693 0.01066394
 0.02152993 0.01410028 0.01674821 0.87459417]",[ 0  4  8  9 15 18 22 23 25 28],100,35,0.048992,1000,100,0.03,0.003,1,10,10,best,6,best
9,idID,True,0.049193580257224576,0.005649970043922113,10,"[0.01053402 0.01336993 0.01554543 0.01121128 0.01243025 0.01011664
 0.01078833 0.01426475 0.01694357 0.88479581]",[ 0  4  8  9 15 16 18 23 25 28],100,33,0.050378,1000,100,0.03,0.003,1,10,10,best,6,best
10,idID,True,0.04650230482990646,0.005664211314939702,10,"[0.01057913 0.0134272  0.01561201 0.0112593  0.01004283 0.01248349
 0.01015997 0.01083453 0.01701614 0.8885854 ]",[ 0  4  8  9 12 15 16 18 25 28],100,37,0.049243,1000,100,0.03,0.003,1,10,10,best,6,best
11,TID,True,0.04374856306531007,0.005642509050468275,10,"[0.01057913 0.0134272  0.01561201 0.0112593  0.01248349 0.01015997
 0.01083453 0.01701614 0.01       0.8885854 ]",[ 0  4  8  9 15 16 18 25 27 28],100,33,0.048686,1000,100,0.03,0.003,1,10,10,best,6,best
12,idID,True,0.04252932047179881,0.005666034842699169,10,"[0.01059293 0.0134447  0.01563236 0.01001304 0.01249976 0.01017322
 0.01084866 0.01703832 0.01001304 0.88974397]",[ 0  4  8 11 15 16 18 25 27 28],100,42,0.046668,1000,100,0.03,0.003,1,10,10,best,6,best
13,TID,True,0.04165689746744679,0.005637747017418473,10,"[0.01059293 0.0134447  0.01563236 0.01249976 0.01017322 0.01084866
 0.01703832 0.01001304 0.88974397 0.01      ]",[ 0  4  8 15 16 18 25 27 28 30],100,36,0.0483,1000,100,0.03,0.003,1,10,10,best,6,best
14,idID,True,0.04143697831012453,0.0055849520507016345,10,"[0.01065307 0.01352103 0.01257073 0.01023098 0.01091025 0.01005677
 0.01713506 0.01006989 0.89479544 0.01005677]",[ 0  4 15 16 18 24 25 27 28 30],100,41,0.046962,1000,100,0.03,0.003,1,10,10,best,6,best
15,TID,True,0.040999078124383345,0.005599669327228449,10,"[0.01065307 0.01       0.01352103 0.01257073 0.01023098 0.01091025
 0.01713506 0.01006989 0.89479544 0.01005677]",[ 0  1  4 15 16 18 25 27 28 30],100,41,0.047584,1000,100,0.03,0.003,1,10,10,best,6,best
16,idID,True,0.040298611683062154,0.005632626605850985,10,"[0.01068113 0.01002634 0.01355665 0.01025793 0.01093899 0.0171802
 0.01009642 0.89715272 0.01002634 0.01008327]",[ 0  1  4 16 18 25 27 28 29 30],100,54,0.04748,1000,100,0.03,0.003,1,10,10,best,6,best
17,TID,True,0.03955369351387512,0.005592156565859007,10,"[0.01068113 0.01355665 0.01       0.01025793 0.01093899 0.0171802
 0.01009642 0.89715272 0.01002634 0.01008327]",[ 0  4 15 16 18 25 27 28 29 30],100,52,0.048604,1000,100,0.03,0.003,1,10,10,best,6,best
18,idID,True,0.03876302834680367,0.005643621415848625,10,"[0.0106817  0.01355737 0.01000053 0.01000053 0.01025847 0.01093957
 0.0171811  0.01009695 0.89719999 0.0100838 ]",[ 0  4  8 15 16 18 25 27 28 30],100,48,0.046376,1000,100,0.03,0.003,1,10,10,best,6,best
19,idID,True,0.03789259063156676,0.005637402068106099,10,"[0.01356662 0.01000735 0.01000735 0.01026547 0.01000682 0.01094703
 0.01719282 0.01010383 0.89781202 0.01009068]",[ 4  8 15 16 17 18 25 27 28 30],100,55,0.045929,1000,100,0.03,0.003,1,10,10,best,6,best
20,iDR,True,0.03777362079688179,0.005637837822556225,10,"[0.01357362 0.01001251 0.01001251 0.01027077 0.01001199 0.01095268
 0.01668565 0.01010905 0.89827534 0.01009589]",[ 4  8 15 16 17 18 25 27 28 30],100,49,0.04818,1000,100,0.03,0.003,1,10,10,best,6,best
21,iDR,True,0.03765796594103543,0.005638260934294964,10,"[0.01358042 0.01001753 0.01001753 0.01027591 0.010017   0.01095817
 0.01619318 0.01011411 0.89872522 0.01010094]",[ 4  8 15 16 17 18 25 27 28 30],100,48,0.047472,1000,100,0.03,0.003,1,10,10,best,6,best
22,TID,True,0.037528582626161607,0.005638758388855629,10,"[0.01358042 0.01001753 0.01001753 0.01027591 0.010017   0.01095817
 0.01570739 0.01011411 0.89921101 0.01010094]",[ 4  8 15 16 17 18 25 27 28 30],100,53,0.048237,1000,100,0.03,0.003,1,10,10,best,6,best
23,iDR,True,0.0374149815287028,0.005638871763727732,10,"[0.01358488 0.01002082 0.01002082 0.01027929 0.01002029 0.01063292
 0.01571255 0.01011744 0.89950672 0.01010426]",[ 4  8 15 16 17 18 25 27 28 30],100,52,0.048234,1000,100,0.03,0.003,1,10,10,best,6,best
24,iDR,False,0.03730463786038329,0.00563898180862179,10,"[0.01358922 0.01002402 0.01002402 0.01028257 0.01002349 0.01031722
 0.01571757 0.01012067 0.89979374 0.01010749]",[ 4  8 15 16 17 18 25 27 28 30],100,43,0.048102,1000,100,0.03,0.003,1,10,10,best,6,best
25,TID,True,0.037178771763903516,0.00563946465224853,10,"[0.01358922 0.01002402 0.01002402 0.01028257 0.01002349 0.01031722
 0.01524604 0.01012067 0.90026527 0.01010749]",[ 4  8 15 16 17 18 25 27 28 30],100,50,0.048296,1000,100,0.03,0.003,1,10,10,best,6,best
26,TID,True,0.037056545942458385,0.005639933010566468,10,"[0.01358922 0.01002402 0.01002402 0.01028257 0.01002349 0.01031722
 0.01478866 0.01012067 0.90072265 0.01010749]",[ 4  8 15 16 17 18 25 27 28 30],100,55,0.047572,1000,100,0.03,0.003,1,10,10,best,6,best
27,iDR,True,0.03694916304638185,0.005640040115738086,10,"[0.01359342 0.01002712 0.01002712 0.01028575 0.01002659 0.0100108
 0.01479324 0.0101238  0.90100152 0.01011062]",[ 4  8 15 16 17 18 25 27 28 30],100,54,0.047278,1000,100,0.03,0.003,1,10,10,best,6,best
28,iDR,False,0.03684560870103428,0.005640416196586376,10,"[0.01359946 0.01003158 0.01003158 0.01029032 0.01003105 0.01001525
 0.01435581 0.01012829 0.90140156 0.01011511]",[ 4  8 15 16 17 18 25 27 28 30],100,58,0.047762,1000,100,0.03,0.003,1,10,10,best,6,best
29,TID,True,0.036730224677065576,0.0056408572070864105,10,"[0.01359946 0.01003158 0.01003158 0.01029032 0.01003105 0.01001525
 0.01392514 0.01012829 0.90183224 0.01011511]",[ 4  8 15 16 17 18 25 27 28 30],100,56,0.048088,1000,100,0.03,0.003,1,10,10,best,6,best
30,iDR,True,0.03663245506736315,0.005641211550928405,10,"[0.01360514 0.01003577 0.01003577 0.01029462 0.01003524 0.01001943
 0.01351303 0.01013253 0.90220914 0.01011933]",[ 4  8 15 16 17 18 25 27 28 30],100,63,0.048324,1000,100,0.03,0.003,1,10,10,best,6,best
31,iDR,True,0.036537450020174826,0.005641555547555955,10,"[0.01361066 0.01003984 0.01003984 0.0102988  0.01003931 0.0100235
 0.01311295 0.01013664 0.90257504 0.01012344]",[ 4  8 15 16 17 18 25 27 28 30],100,66,0.048285,1000,100,0.03,0.003,1,10,10,best,6,best
32,TID,True,0.03643176150462161,0.005641958377451207,10,"[0.01361066 0.01003984 0.01003984 0.0102988  0.01003931 0.0100235
 0.01271956 0.01013664 0.90296842 0.01012344]",[ 4  8 15 16 17 18 25 27 28 30],100,60,0.047621,1000,100,0.03,0.003,1,10,10,best,6,best
33,TID,True,0.036329149187266735,0.005642349122449603,10,"[0.01361066 0.01003984 0.01003984 0.0102988  0.01003931 0.0100235
 0.01233798 0.01013664 0.90335001 0.01012344]",[ 4  8 15 16 17 18 25 27 28 30],100,61,0.048391,1000,100,0.03,0.003,1,10,10,best,6,best
34,iDR,False,0.03624204954918774,0.0056426636163501446,10,"[0.0136157  0.01004356 0.01004356 0.01030261 0.01004303 0.01002721
 0.01197227 0.01014039 0.9036845  0.01012719]",[ 4  8 15 16 17 18 25 27 28 30],100,49,0.04692,1000,100,0.03,0.003,1,10,10,best,6,best
35,TID,True,0.036152358444121464,0.005640601654773883,10,"[0.01320723 0.01004356 0.01004356 0.01030261 0.01004303 0.01002721
 0.01197227 0.01014039 0.90409297 0.01012719]",[ 4  8 15 16 17 18 25 27 28 30],100,61,0.048146,1000,100,0.03,0.003,1,10,10,best,6,best
36,iDR,False,0.036067653200402644,0.005640906195604162,10,"[0.01321197 0.01004716 0.01004716 0.01030631 0.01004663 0.01003081
 0.01161727 0.01014403 0.90441781 0.01013082]",[ 4  8 15 16 17 18 25 27 28 30],100,57,0.048397,1000,100,0.03,0.003,1,10,10,best,6,best
37,iDR,False,0.03598536381464349,0.005641201809374335,10,"[0.01321658 0.01005067 0.01005067 0.0103099  0.01005014 0.01003431
 0.01127268 0.01014757 0.90473313 0.01013436]",[ 4  8 15 16 17 18 25 27 28 30],100,56,0.047316,1000,100,0.03,0.003,1,10,10,best,6,best
38,TID,True,0.035869332123272264,0.0056429137690963095,10,"[0.01321658 0.01005067 0.01005067 0.01000061 0.01005014 0.01003431
 0.01127268 0.01014757 0.90504242 0.01013436]",[ 4  8 15 16 17 18 25 27 28 30],100,48,0.046989,1000,100,0.03,0.003,1,10,10,best,6,best
39,TID,True,0.03578203512079747,0.005640912250170414,10,"[0.01282008 0.01005067 0.01005067 0.01000061 0.01005014 0.01003431
 0.01127268 0.01014757 0.90543892 0.01013436]",[ 4  8 15 16 17 18 25 27 28 30],100,62,0.045108,1000,100,0.03,0.003,1,10,10,best,6,best
40,TID,True,0.0356906408601695,0.005641258547021599,10,"[0.01282008 0.01005067 0.01005067 0.01000061 0.01005014 0.01003431
 0.0109345  0.01014757 0.9057771  0.01013436]",[ 4  8 15 16 17 18 25 27 28 30],100,58,0.045047,1000,100,0.03,0.003,1,10,10,best,6,best
41,TID,True,0.035601918621950765,0.005641594454967247,10,"[0.01282008 0.01005067 0.01005067 0.01000061 0.01005014 0.01003431
 0.01060647 0.01014757 0.90610514 0.01013436]",[ 4  8 15 16 17 18 25 27 28 30],100,60,0.044932,1000,100,0.03,0.003,1,10,10,best,6,best
42,TID,True,0.035515792370968684,0.0056419202856745265,10,"[0.01282008 0.01005067 0.01005067 0.01000061 0.01005014 0.01003431
 0.01028827 0.01014757 0.90642333 0.01013436]",[ 4  8 15 16 17 18 25 27 28 30],100,55,0.044754,1000,100,0.03,0.003,1,10,10,best,6,best
43,iDR,False,0.03544364276268079,0.005639910703332355,10,"[0.01244026 0.01005453 0.01005453 0.01000446 0.010054   0.01003817
 0.01029223 0.01015147 0.90677208 0.01013826]",[ 4  8 15 16 17 18 25 27 28 30],100,66,0.045291,1000,100,0.03,0.003,1,10,10,best,6,best
44,iDR,False,0.035373541437527384,0.005637959930424389,10,"[0.01207156 0.01005829 0.01005829 0.01000819 0.01005776 0.01004192
 0.01029608 0.01015526 0.90711062 0.01014204]",[ 4  8 15 16 17 18 25 27 28 30],100,66,0.048151,1000,100,0.03,0.003,1,10,10,best,6,best
45,iDR,False,0.035305433625583686,0.005636066288460857,10,"[0.01171366 0.01006193 0.01006193 0.01001182 0.0100614  0.01004555
 0.01029981 0.01015894 0.90743924 0.01014572]",[ 4  8 15 16 17 18 25 27 28 30],100,56,0.046536,1000,100,0.03,0.003,1,10,10,best,6,best
